Domestic Passenger - Revenue Passenger Miles  (January 2000 - February 2020)
Unit: (000)

Period,Total
"January 2000","34933923"
"February 2000","36023970"
"March 2000","43912920"
"April 2000","41963837"
"May 2000","43178325"
"June 2000","45884524"
"July 2000","47356809"
"August 2000","46508833"
"September 2000","38401788"
"October 2000","41849020"
"November 2000","40735836"
"December 2000","39689934"
"January 2001","37217797"
"February 2001","35815598"
"March 2001","44244542"
"April 2001","42484030"
"May 2001","42614253"
"June 2001","45442917"
"July 2001","48237149"
"August 2001","48739008"
"September 2001","26292388"
"October 2001","33488158"
"November 2001","34094522"
"December 2001","34954325"
"January 2002","33057861"
"February 2002","32687009"
"March 2002","41550116"
"April 2002","38562404"
"May 2002","39986109"
"June 2002","43093890"
"July 2002","45467897"
"August 2002","45608676"
"September 2002","34344417"
"October 2002","39456884"
"November 2002","36714419"
"December 2002","41810444"
"January 2003","36642575"
"February 2003","34566095"
"March 2003","42274714"
"April 2003","39897898"
"May 2003","41373283"
"June 2003","44943033"
"July 2003","48780278"
"August 2003","47474838"
"September 2003","37256711"
"October 2003","41972213"
"November 2003","39809852"
"December 2003","43212550"
"January 2004","38622990"
"February 2004","39103109"
"March 2004","47150438"
"April 2004","46390540"
"May 2004","45789477"
"June 2004","50251849"
"July 2004","53253581"
"August 2004","51287218"
"September 2004","41034142"
"October 2004","46266911"
"November 2004","43925182"
"December 2004","45544428"
"January 2005","41983753"
"February 2005","40480882"
"March 2005","51289218"
"April 2005","47408998"
"May 2005","49351683"
"June 2005","52555831"
"July 2005","55711370"
"August 2005","52868268"
"September 2005","43846411"
"October 2005","46226519"
"November 2005","45412893"
"December 2005","46502981"
"January 2006","43215323"
"February 2006","41184016"
"March 2006","50997603"
"April 2006","49064805"
"May 2006","49524738"
"June 2006","52419211"
"July 2006","54732424"
"August 2006","52316801"
"September 2006","43375741"
"October 2006","47445468"
"November 2006","46248488"
"December 2006","47071683"
"January 2007","44073377"
"February 2007","41486651"
"March 2007","51801016"
"April 2007","50037645"
"May 2007","51250776"
"June 2007","54261544"
"July 2007","56791610"
"August 2007","55921030"
"September 2007","45521610"
"October 2007","49368530"
"November 2007","47502164"
"December 2007","47327241"
"January 2008","44476814"
"February 2008","43627449"
"March 2008","52241397"
"April 2008","48401979"
"May 2008","50468905"
"June 2008","52743853"
"July 2008","54832557"
"August 2008","52885956"
"September 2008","41240773"
"October 2008","45177477"
"November 2008","40793883"
"December 2008","44040793"
"January 2009","39534776"
"February 2009","37837972"
"March 2009","46745158"
"April 2009","45636412"
"May 2009","46182222"
"June 2009","49481608"
"July 2009","52914176"
"August 2009","50703592"
"September 2009","41892688"
"October 2009","45047591"
"November 2009","41814041"
"December 2009","43863158"
"January 2010","40527259"
"February 2010","37190590"
"March 2010","47864045"
"April 2010","45888620"
"May 2010","47163840"
"June 2010","50603254"
"July 2010","53323805"
"August 2010","51671196"
"September 2010","43939559"
"October 2010","47549627"
"November 2010","44629295"
"December 2010","45316761"
"January 2011","41422704"
"February 2011","38497505"
"March 2011","49280419"
"April 2011","46807462"
"May 2011","49244776"
"June 2011","51775995"
"July 2011","54671843"
"August 2011","51823513"
"September 2011","44847097"
"October 2011","47237727"
"November 2011","45065934"
"December 2011","45946616"
"January 2012","41893748"
"February 2012","40659462"
"March 2012","49951591"
"April 2012","47438692"
"May 2012","49239857"
"June 2012","52140195"
"July 2012","54397429"
"August 2012","53062455"
"September 2012","44107275"
"October 2012","46895816"
"November 2012","45361768"
"December 2012","45997530"
"January 2013","42893806"
"February 2013","40506848"
"March 2013","50772490"
"April 2013","47481331"
"May 2013","50271250"
"June 2013","52965778"
"July 2013","54893575"
"August 2013","53306554"
"September 2013","44859576"
"October 2013","48055109"
"November 2013","44606606"
"December 2013","49330650"
"January 2014","43771219"
"February 2014","40717033"
"March 2014","52078324"
"April 2014","49433047"
"May 2014","51679674"
"June 2014","54158901"
"July 2014","57002502"
"August 2014","54821319"
"September 2014","46525529"
"October 2014","50325343"
"November 2014","46547045"
"December 2014","50471102"
"January 2015","45309148"
"February 2015","42399307"
"March 2015","54092109"
"April 2015","52027990"
"May 2015","54422765"
"June 2015","57163783"
"July 2015","60563817"
"August 2015","57965844"
"September 2015","50045430"
"October 2015","54283082"
"November 2015","51099823"
"December 2015","53275254"
"January 2016","48236665"
"February 2016","46611600"
"March 2016","56859309"
"April 2016","53770248"
"May 2016","57255603"
"June 2016","60426725"
"July 2016","62465229"
"August 2016","59429934"
"September 2016","52861742"
"October 2016","55553135"
"November 2016","53486298"
"December 2016","54954842"
"January 2017","50319086"
"February 2017","46656963"
"March 2017","58996313"
"April 2017","56472165"
"May 2017","59176066"
"June 2017","62649839"
"July 2017","65170842"
"August 2017","62673950"
"September 2017","52077506"
"October 2017","58497446"
"November 2017","56112502"
"December 2017","57173701"
"January 2018","51872373"
"February 2018","49636494"
"March 2018","61907663"
"April 2018","59513572"
"May 2018","62740812"
"June 2018","66245773"
"July 2018","69231934"
"August 2018","66303275"
"September 2018","55618183"
"October 2018","61239639"
"November 2018","59005266"
"December 2018","59620147"
"January 2019","54518594"
"February 2019","51551483"
"March 2019","65587135"
"April 2019","62116465"
"May 2019","65968843"
"June 2019","68543487"
"July 2019","71407977"
"August 2019","68300086"
"September 2019","58424862"
"October 2019","63561778"
"November 2019","59394049"
"December 2019","65460027"
"January 2020","57814028"
"February 2020","55526240"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
